task,dataset,image,sigma255,seed,method,psnr,ssim,grad_corr,grad_mae,tv_input,tv_output,iterations,runtime,budget,removed,p,gamma,lambda,alpha,eta,accepted
real_camera,polyu_full,NikonD800_6-3_125_5000_plant__4,1.1692950199565035,-1,ectv_fdncnn,37.76666924304659,0.9292461276054382,0.9688829183578492,0.0051761111244559,0.025739774107933,0.0257237926125526,0,1.9463524999991928,1.598203132821299e-05,1.598149538040161e-05,0.998907394853022,0.32,,0.3333333333333333,0.0035299062728881,0.0
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_3,0.8378048650138574,-1,noisy,36.95153239667226,0.9592700004577636,0.9950688481330872,0.0054022478871047,0.0599435232579708,0.0599435232579708,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_3,0.8378048650138574,-1,fdncnn_color,37.20181900335901,0.9653889536857604,0.9952715039253236,0.0050687845796346,0.0599435232579708,0.0576711781322956,0,1.8992078000010224,,,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_3,0.8378048650138574,-1,ectv_fdncnn,36.95208436239321,0.9592836499214172,0.9950695037841796,0.0054015559144318,0.0599435232579708,0.0599389560520648,0,1.9396809999998368,4.568800073990086e-06,4.567205905914307e-06,0.9994387816084952,0.32,,0.3333333333333333,0.0017628073692321,0.0
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_5,0.8785906202296454,-1,noisy,35.80403663536136,0.9742417335510254,0.996125876903534,0.0071516530588269,0.1026992201805114,0.1026992201805114,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_5,0.8785906202296454,-1,fdncnn_color,35.98396073511867,0.9790822863578796,0.9961886405944824,0.0068215006031095,0.1026992201805114,0.1007193177938461,0,1.9374270000007527,,,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_5,0.8785906202296454,-1,ectv_fdncnn,35.80459113981368,0.9742568135261536,0.9961257576942444,0.0071506979875266,0.1026992201805114,0.1026937663555145,0,1.982559100000799,5.463983366068668e-06,5.453824996948242e-06,0.9993828440128564,0.32,,0.3333333333333333,0.0023794174194335,0.0
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_7,0.7059779371862622,-1,noisy,37.84200714961398,0.9631875157356262,0.994844615459442,0.004789094440639,0.046485312283039,0.046485312283039,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_7,0.7059779371862622,-1,fdncnn_color,38.069707607408446,0.9678979516029358,0.9950895309448242,0.0045123356394469,0.046485312283039,0.0447144322097301,0,1.9151763999998368,,,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_7,0.7059779371862622,-1,ectv_fdncnn,37.84233879442187,0.9631943106651306,0.9948452711105348,0.0047887181863188,0.046485312283039,0.0464829169213771,0,1.9473424999996496,2.396079541444777e-06,2.3953616619110107e-06,0.9996014350602448,0.32,,0.3333333333333333,0.0012011528015136,0.0
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_8,0.9448019526748954,-1,noisy,39.42511939853356,0.9446430802345276,0.9881330728530884,0.0045535517856478,0.0304596349596977,0.0304596349596977,0,0.0,0.0,0.0,0.0,,,,,
real_camera,polyu_full,NikonD800_8_100_6400_bulletin_8,0.9448019526748954,-1,fdncnn_color,39.971862949723146,0.9542355537414552,0.9894557595252992,0.0041999705135822,0.0304596349596977,0.02757746912539,0,1.922014499999932,,,0.0,,,,,
